City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,byron bay,-28.65,153.6167,25.6,61,100,3.71,AU,2025-01-25 02:05:50
308,port lincoln,-34.7333,135.8667,23.17,61,3,4.68,AU,2025-01-25 02:05:50
309,katsuren-haebaru,26.3369,127.8719,20.43,87,100,6.17,JP,2025-01-25 02:04:33
310,antsiranana,-12.2787,49.2917,23.22,88,100,1.23,MG,2025-01-25 02:05:51
311,gaoping,30.7758,106.1029,7.5,70,100,7.92,CN,2025-01-25 02:05:51
312,orenburg,51.7727,55.0988,-15.99,88,83,4.04,RU,2025-01-25 02:04:35
313,general villegas,-35.0328,-63.0125,25.2,23,0,3.96,AR,2025-01-25 02:05:51
314,altdorf,49.3875,11.3572,6.46,68,100,2.54,DE,2025-01-25 02:05:52
315,albu kamal,34.45,40.9186,8.64,57,35,1.75,SY,2025-01-25 02:05:52
316,long beach,33.767,-118.1892,17.07,27,0,2.24,US,2025-01-25 02:01:50
317,mersa matruh,31.3525,27.2453,12.11,87,40,1.03,EG,2025-01-25 02:05:52
318,keflavik,64.0049,-22.5624,0.24,100,100,8.75,IS,2025-01-25 02:05:53
319,dawei,14.0833,98.2,24.91,51,15,1.57,MM,2025-01-25 02:05:53
320,saint-louis,16.3333,-15,22.34,18,93,4.63,SN,2025-01-25 02:05:53
321,fort bragg,35.139,-79.006,-1.16,72,0,0,US,2025-01-25 02:05:53
322,pitimbu,-7.4706,-34.8086,26.61,77,28,4.43,BR,2025-01-25 02:05:53
323,noumea,-22.2763,166.4572,26.88,80,100,4.01,NC,2025-01-25 02:05:54
324,rio grande,-32.035,-52.0986,24.2,82,100,7.17,BR,2025-01-25 02:05:54
325,yaren,-0.5472,166.916,27.53,69,62,6.66,NR,2025-01-25 02:05:54
326,portland,45.5234,-122.6762,6.99,62,0,1.34,US,2025-01-25 02:01:29
327,kemijarvi,66.7131,27.4306,-8.15,96,100,1.51,FI,2025-01-25 02:05:54
328,boali,4.8005,18.1275,24.7,27,10,1.45,CF,2025-01-25 02:05:55
329,tillicoultry,56.1525,-3.7402,2.12,65,20,8.88,GB,2025-01-25 02:05:55
330,selfoss,63.9331,-20.9971,1.14,90,100,9.36,IS,2025-01-25 02:05:55
331,pionerskiy,54.9508,20.2275,3.91,86,100,10.22,RU,2025-01-25 02:05:55
332,vilyuchinsk,52.9306,158.4028,-4.85,77,100,3.67,RU,2025-01-25 02:05:56
333,tual,-5.6667,132.75,28.46,72,97,1.94,ID,2025-01-25 02:05:56
334,sirte,31.2089,16.5887,16.26,81,0,4.95,LY,2025-01-25 02:05:56
335,santa ana,33.7456,-117.8678,18.28,23,75,1.54,US,2025-01-25 02:04:29
336,middelburg,-25.7751,29.4648,15.56,78,6,2.94,ZA,2025-01-25 02:05:56
337,primero de mayo,-32.2552,-58.4228,23.77,84,3,5.61,AR,2025-01-25 02:05:57
338,binh long,11.6512,106.6071,25.94,63,100,1.48,VN,2025-01-25 02:05:57
339,al kharijah,25.4514,30.5464,12.36,71,0,3.26,EG,2025-01-25 02:05:57
340,port said,31.2565,32.2841,15.99,77,0,0,EG,2025-01-25 02:04:57
341,pisco,-13.7,-76.2167,19.03,94,40,3.09,PE,2025-01-25 02:05:58
342,bakanas,44.8081,76.2772,-16.33,71,0,4.34,KZ,2025-01-25 02:05:58
343,kerikeri,-35.2268,173.9474,22.73,88,100,4.02,NZ,2025-01-25 02:05:21
344,sao joao da barra,-21.6403,-41.0511,24.87,91,28,4.69,BR,2025-01-25 02:05:58
345,kudahuvadhoo,2.6708,72.8944,27.36,76,99,2.4,MV,2025-01-25 02:05:59
346,kone,-21.0595,164.8658,31.62,60,100,0.76,NC,2025-01-25 02:05:59
347,colonia,50.9333,6.95,11.65,81,0,5.66,DE,2025-01-25 02:05:59
348,merritt island,28.5392,-80.672,10.05,66,20,4.12,US,2025-01-25 02:04:40
349,geneva,41.8875,-88.3054,-5.62,63,100,3.13,US,2025-01-25 02:01:04
350,zapala,-38.8992,-70.0544,16.95,25,6,2.24,AR,2025-01-25 02:06:00
351,north platte,41.1239,-100.7654,-0.06,89,100,2.68,US,2025-01-25 02:06:00
352,castillos,-34.1667,-53.8333,21.98,93,100,4.36,UY,2025-01-25 02:06:00
353,haiku-pauwela,20.9219,-156.3051,25.09,77,20,6.26,US,2025-01-25 02:06:00
354,lerwick,60.1545,-1.1494,7.12,86,100,15.91,GB,2025-01-25 02:06:01
